"event_id", "prog_id", "layer_id", "output_id", "sidx", "loss"
26, 1, 2, 1, 91, 6985.579102
26, 1, 2, 1, 92, 9454.986328
26, 1, 2, 1, 93, 3774.090820
26, 1, 2, 1, 94, 3948.343262
26, 1, 2, 1, 95, 712.866211
26, 1, 2, 1, 96, 0.000000
26, 1, 2, 1, 97, 0.000000
26, 1, 2, 1, 98, 396.770996
26, 1, 2, 1, 99, 4496.857422
26, 1, 2, 1, 100, 0.000000
42, 1, 1, 1, 0, 2574.643555
42, 1, 1, 1, 1, 6556.462402
42, 1, 1, 1, 2, 16783.968750
42, 1, 1, 1, 3, 4790.876465
42, 1, 1, 1, 4, 11976.333984
42, 1, 1, 1, 5, 36266.386719
42, 1, 1, 1, 6, 7196.772461
42, 1, 1, 1, 7, 7677.805176
42, 1, 1, 1, 8, 222.607040
42, 1, 1, 1, 9, 3196.573975
42, 1, 1, 1, 10, 4384.741211
42, 1, 1, 1, 11, 1659.399048
42, 1, 1, 1, 12, 0.000000
42, 1, 1, 1, 13, 2288.600586
42, 1, 1, 1, 14, 0.000000
42, 1, 1, 1, 15, 11521.340820
42, 1, 1, 1, 16, 6717.725586
42, 1, 1, 1, 17, 1823.303101
42, 1, 1, 1, 18, 21753.603516
42, 1, 1, 1, 19, 16666.238281
42, 1, 1, 1, 20, 3023.028564
42, 1, 1, 1, 21, 3862.596924
42, 1, 1, 1, 22, 6999.456055
